Ag,B,Ba,Co,Cr,Mo,Ni,Pb,Sn,Zn,Binary,Quaternary
0.02,21,319,34,27,1,95,11,11,67,0,0
0.02,44,338,29,130,1,59,18,11,70,0,0
0.02,22,386,19,56,1,40,13,5,101,0,0
0.02,7,312,24,67,1,39,13,5,70,0,0
0.02,41,439,26,65,2,35,30,13,154,0,0
0.02,21,292,27,41,1,48,11,5,67,0,0
0.02,28,370,27,61,2,52,15,11,79,0,0
0.02,27,476,27,60,2,72,17,5,49,0,0
0.02,49,710,17,37,1,30,19,5,45,0,0
0.02,28,577,23,55,1,43,19,5,110,0,0
0.02,9,387,20,108,1,44,24,5,94,0,0
0.02,39,562,17,70,1,44,22,5,45,0,0
0.02,28,367,22,95,2,38,14,5,77,0,0
0.02,22,464,28,50,1,44,27,10,79,0,0
0.02,60,895,31,80,1,106,157,5,220,0,0
0.02,27,616,15,54,1,33,19,5,53,0,0
0.02,15,433,24,38,2,42,21,16,90,0,0
0.02,34,393,15,53,2,22,65,5,205,0,0
0.02,23,418,18,57,1,31,13,5,52,0,0
0.02,57,760,22,49,1,39,19,5,40,0,0
0.02,38,443,34,90,1,50,16,5,67,0,0
0.02,39,544,21,40,2,36,15,5,61,0,0
0.02,50,531,24,81,2,106,58,10,395,0,0
0.02,31,402,25,82,2,57,15,5,60,0,0
0.02,18,339,25,80,1,48,15,12,61,0,0
0.02,22,372,31,70,1,78,40,5,127,0,0
0.02,19,232,22,36,1,31,11,5,71,0,0
0.02,26,563,24,71,4,46,32,5,80,0,0
0.02,7,329,21,136,2,41,12,5,43,0,0
0.02,8,294,21,88,2,33,9,5,45,0,0
0.02,21,308,15,41,1,35,10,5,92,0,0
0.02,33,139,17,40,2,25,29,5,92,0,0
0.02,39,388,22,75,1,41,95,5,118,0,0
0.02,46,620,45,170,2,92,22,5,75,0,0
0.02,22,546,21,54,2,42,14,5,74,0,0
0.02,11,474,18,27,1,30,19,5,55,0,0
0.02,28,486,27,60,2,47,19,5,69,0,0
0.02,19,304,17,43,1,38,16,5,113,0,0
0.02,31,453,25,73,1,48,18,5,99,0,0
0.02,44,450,27,121,2,54,15,5,102,0,0
0.02,16,270,20,54,1,28,13,5,64,0,0
0.02,27,360,32,59,1,46,12,5,66,0,0
0.02,14,381,20,67,2,66,10,5,99,0,0
0.02,38,427,24,61,2,49,25,5,68,0,0
0.02,11,361,18,50,2,61,11,5,115,0,0
0.02,18,241,25,32,2,42,12,14,155,0,0
0.02,36,565,21,56,2,47,30,5,68,0,0
0.02,80,280,15,39,1,47,33,5,117,0,0
0.02,22,426,18,92,2,57,15,5,93,0,0
0.02,16,318,18,68,1,29,16,5,78,0,0
0.02,27,618,23,61,2,81,21,5,100,0,0
0.02,51,331,18,35,2,36,61,5,135,0,0
0.02,51,506,27,78,1,48,27,5,82,0,0
0.02,21,508,24,110,2,37,18,5,52,0,0
0.02,12,472,27,87,1,48,13,5,34,0,0
0.02,18,381,20,68,2,76,14,5,134,0,0
0.02,36,281,38,35,1,54,13,14,90,0,0
0.02,8,286,16,57,2,57,13,5,120,0,0
1,28,278,17,31,2,27,33,5,118,0,0
0.02,28,345,41,65,1,56,14,13,83,0,0
0.02,23,448,21,59,1,35,17,5,76,0,0
0.02,17,529,21,61,1,38,15,5,42,0,0
0.02,42,371,39,40,2,117,84,5,132,0,0
0.02,53,405,40,40,1,117,60,5,149,0,0
48,0.02,19,580,11,1,34,23,5,72,0,0
85,0.02,68,580,25,1,10,17,5,98,0,0
72,0.02,100,580,27,1,11,25,20,140,0,0
38,0.02,31,583,13,1,28,12,5,133,0,0
86,0.02,34,583,44,1,112,9,5,73,0,0
66,0.02,28,585,16,1,40,17,5,80,0,0
82,0.02,31,592,26,1,55,16,5,104,0,0
53,0.02,21,594,21,1,47,16,5,95,0,0
82,0.02,33,594,20,1,70,14,5,54,0,0
69,0.02,41,595,64,1,230,45,5,480,0,0
37,0.02,14,595,8,1,15,14,5,40,0,0
115,0.02,101,597,39,1,94,34,5,51,0,0
70,0.02,43,598,34,1,88,12,5,80,0,0
64,0.02,30,598,19,1,37,17,5,114,0,0
71,0.02,36,598,25,1,44,17,5,75,0,0
155,1,58,600,72,1,65,70,101,480,0,0
75,0.02,106,600,21,1,6,16,5,100,0,0
519,0.02,100,607,94,1,233,353,14,345,1,3
61,0.02,14,613,18,1,33,10,5,133,0,0
40,0.02,20,613,12,1,32,14,5,52,0,0
34,0.02,13,615,11,1,30,25,5,50,0,0
37,0.02,27,616,15,1,33,19,5,53,0,0
58,0.02,17,617,21,1,39,8,5,144,0,0
80,0.02,57,618,20,1,58,19,5,78,0,0
95,0.02,46,620,14,1,40,66,5,65,0,0
40,0.02,15,633,16,1,34,13,5,128,0,0
26,0.02,10,635,5,1,20,21,5,50,0,0
35,0.02,18,640,12,1,36,29,86,60,0,0
79,0.02,42,642,32,1,65,32,5,96,0,0
60,0.02,22,643,19,1,59,7,5,57,0,0
75,0.02,38,650,35,1,25,55,85,300,0,0
53,0.02,21,650,7,1,40,31,5,90,0,0
53,0.02,31,650,11,1,2,50,13,75,0,0
38,0.02,25,650,10,1,38,31,55,20,0,0
113,0.02,48,656,27,1,46,16,5,79,0,0
105,0.02,39,659,28,1,52,16,5,104,0,0
54,0.02,24,660,10,1,2,14,29,79,0,0
48,0.02,27,660,10,1,52,32,5,46,0,0
95,0.02,62,660,18,1,48,40,26,145,0,0
77,0.02,51,665,46,1,57,14,5,45,0,0
131,0.02,95,674,55,1,152,25,5,81,0,0
